stock,last,var_perc,var,ytd,max,min,volume,capitalization,timestamp
ADIDAS,255.65,0.008100000000000001,2.05,0.0097,259.95,253.1,NA,51236,2022-01-20T18:30:00Z
ADYEN,1891.8,0.026600000000000002,49,-0.1816,1897,1790.4,84417,58565,2022-01-20T17:35:00Z
AHOLD,29.685,-0.0077,-0.23,-0.0149,29.95,29.515,3012098,31042,2022-01-20T17:36:00Z
AIR LIQUIDE,157.54,0.011200000000000002,1.74,0.0275,157.9,154.5,624478,74877,2022-01-20T17:35:00Z
AIRBUS,115.72,0.0052,0.6,0.029900000000000003,115.72,113.96000000000001,1161977,90966,2022-01-20T17:35:00Z
ALLIANZ,224.8,0.0045000000000000005,1,0.08259999999999999,224.8,221.05,NA,92683,2022-01-20T18:30:00Z
AMADEUS IT GROUP,62.18,-0.0045000000000000005,-0.28,0.0426,63.04,60.86,946975,28012,2022-01-20T18:01:00Z
ANHEUSER-BUSCH INBEV,58.57,0.0012,0.07,0.1016,59.339999999999996,58.09,1358267,101746,2022-01-20T17:37:00Z
ASML,640,0.022000000000000002,13.8,-0.0944,642,617.7,834230,260144,2022-01-20T17:39:00Z
AXA,27.830000000000002,-0.0062,-0.17,0.06280000000000001,27.984999999999996,27.459999999999997,5458042,67392,2022-01-20T17:37:00Z
BASF,67.44000000000001,-0.0053,-0.36,0.0916,68.14,67.07,NA,61942,2022-01-20T18:30:00Z
BAYER,52.7,0.0111,0.58,0.1213,52.78,51.93,NA,51774,2022-01-20T18:30:00Z
BCA. INTESA,2.549,0.0073,0.02,0.12050000000000001,2.55,2.52,71006312,49519,2022-01-20T17:25:00Z
BMW,96.83,-0.0105,-1.03,0.0942,98.03,95.8,NA,58291,2022-01-20T18:30:00Z
BNP,64.11,-0.0197,-1.29,0.055,65.74000000000001,63.09,3365869,79133,2022-01-20T17:36:00Z
DAIMLER,73.2,-0.0174,-1.3,0.083,74.53,72.14999999999999,NA,78312,2022-01-20T18:30:00Z
DANONE,57.52,0.0063,0.36,0.0537,57.949999999999996,57.09,1238389,39555,2022-01-20T17:35:00Z
DEUTSCHE POST,54.06,0.0046,0.25,-0.043899999999999995,54.07,53.41,NA,66984,2022-01-20T18:30:00Z
DEUTSCHE TELEKOM,16.32,0.0075,0.12,0.0012,16.344,16.138,NA,77707,2022-01-20T18:30:00Z
DT.BOERSE NA,161.35000000000002,0.0202,3.2,0.0969,161.45000000000002,158.45000000000002,NA,30656,2022-01-20T18:30:00Z
ENEL,6.987,0.026000000000000002,0.18,-0.0103,7.01,6.79,28444644,71035,2022-01-20T17:25:00Z
ENGIE,13.732,0.0169,0.23,0.0552,13.76,13.512,5863641,33441,2022-01-20T17:35:00Z
ENI,13.282,-0.0103,-0.14,0.0883,13.4,13.219999999999999,14459912,47890,2022-01-20T17:25:00Z
ESSILOR,176.64,0.011899999999999999,2.08,-0.056600000000000004,177.38000000000002,173.08,498403,78143,2022-01-20T17:35:00Z
IBERDROLA,10.219999999999999,0.022400000000000003,0.22,-0.0017000000000000001,10.26,10.02,11242581,65061,2022-01-20T18:01:00Z
INDITEX,28.5,-0.0031,-0.09,-0.0011,28.84,28.330000000000002,1743866,88825,2022-01-20T18:01:00Z
INFINEON,37.83,-0.0053,-0.2,-0.0719,38.385,37.12500000000001,NA,49403,2022-01-20T18:30:00Z
ING GROEP N.V.,13.168,-0.0104,-0.14,0.0756,13.336,13.05,10763863,51409,2022-01-20T17:37:00Z
Kering,681.9,0.0016,1.1,-0.0354,687.5,670,148505,85028,2022-01-20T17:35:00Z
KONE B,59.660000000000004,0.0051,0.3,-0.1293,60.08,58.92,709336,27037,2022-01-19T23:59:00Z
LINDE RG,287.95,0.0075,2.15,-0.059000000000000004,287.95,282.9,NA,147590,2022-01-20T18:30:00Z
L'Oreal,380.8,0.009399999999999999,3.55,-0.0867,381.25,373.55,358065,212361,2022-01-20T17:39:00Z
LVMH,703.9,0.0089,6.2,-0.0318,707.6,686.1,414578,355299,2022-01-20T17:39:00Z
MUENCHENER RE,271.8,-0.0037,-1,0.0434,274.55,269.2,NA,39226,2022-01-20T18:30:00Z
Pernod Ricard,198.55,-5e-4,-0.1,-0.061200000000000004,199.15,197.55,356502,51996,2022-01-20T17:36:00Z
PHILIPS,29.924999999999997,-0.0027,-0.08,-0.0867,29.939999999999998,29.145,3836335,26451,2022-01-20T17:37:00Z
PROSUS,77.71000000000001,0.0645,4.71,0.056799999999999996,77.71000000000001,75.61999999999999,2327729,161143,2022-01-20T17:35:00Z
Safran,112.7,0.0046,0.52,0.046799999999999994,113.14,111.52,1012534,48150,2022-01-20T17:35:00Z
Sanofi,92.92,0.013000000000000001,1.19,0.049,92.99000000000001,90.95,2243096,117410,2022-01-20T17:37:00Z
SANTANDER,3.131,-0.0013,-0,0.0646,3.142,3.089,31901690,54285,2022-01-20T18:50:00Z
SAP,122.98,0.0128,1.56,-0.0154,123.16,120.72,NA,151081,2022-01-20T18:30:00Z
SCHNEIDER,161.5,0.0124,1.98,-0.0636,162.58,159.38000000000002,963619,91899,2022-01-20T17:39:00Z
SIEMENS,146.9,0.0177,2.56,-0.0379,147.2,143.7,NA,124865,2022-01-20T18:30:00Z
TOTAL,50.68,-0.0113,-0.58,0.1356,51.47,50.02,6354172,133817,2022-01-20T17:38:00Z
VINCI,98.86999999999999,0.0069,0.68,0.0641,99.14999999999999,97.86,1026699,58567,2022-01-20T17:39:00Z
VIVENDI UNIVERSAL,11.75,0.0147,0.17,-0.0118,11.84,11.66,2603839,13026,2022-01-20T17:35:00Z
VONOVIA,48.59,0.0138,0.66,0.0019,48.97,47.849999999999994,NA,37735,2022-01-20T18:30:00Z
VW VZ,190.72,-0.0051,-0.98,0.0746,192.04,188.82000000000002,NA,39328,2022-01-20T18:30:00Z
