fecha,target,tasaParoMensual
01/01/2005,116435,2176599
02/01/2005,131789,2165420
03/01/2005,163232,2144835
04/01/2005,148105,2095945
05/01/2005,154655,2007393
06/01/2005,175020,1974860
07/01/2005,177360,1989417
08/01/2005,108718,2019110
09/01/2005,115772,2013286
10/01/2005,120690,2052861
11/01/2005,133982,2095580
12/01/2005,144687,2102937
01/01/2006,116391,2171503
02/01/2006,129906,2169277
03/01/2006,177584,2148530
04/01/2006,132685,2075676
05/01/2006,157108,2004528
06/01/2006,172332,1959754
07/01/2006,170483,1954984
08/01/2006,106236,1983677
09/01/2006,108283,1966166
10/01/2006,129239,1992836
11/01/2006,136239,2023164
12/01/2006,137776,2022873
01/01/2007,119810,2082508
02/01/2007,124308,2075275
03/01/2007,177037,2059451
04/01/2007,125001,2023124
05/01/2007,156883,1973231
06/01/2007,169502,1965869
07/01/2007,170328,1970338
08/01/2007,102426,2028296
09/01/2007,99548,2017363
10/01/2007,131701,2048577
11/01/2007,126738,2094473
12/01/2007,140633,2129547
01/01/2008,105548,2261925
02/01/2008,125580,2315331
03/01/2008,127134,2300975
04/01/2008,126442,2338517
05/01/2008,118950,2353575
06/01/2008,117364,2390424
07/01/2008,124687,2426916
08/01/2008,61141,2530001
09/01/2008,67816,2625368
10/01/2008,80146,2818026
11/01/2008,64699,2989269
12/01/2008,73169,3128963
01/01/2009,60946,3327801
02/01/2009,63611,3481859
03/01/2009,77584,3605402
04/01/2009,68156,3644880
05/01/2009,72639,3620139
06/01/2009,98655,3564889
07/01/2009,111093,3544095
08/01/2009,60667,3629080
09/01/2009,79575,3709447
10/01/2009,101146,3808353
11/01/2009,88825,3868946
12/01/2009,92460,3923603
01/01/2010,71530,4048493
02/01/2010,93422,4130625
03/01/2010,127223,4166613
04/01/2010,95947,4142425
05/01/2010,104955,4066202
06/01/2010,123090,3982368
07/01/2010,84586,3908578
08/01/2010,46767,3969661
09/01/2010,58019,4017763
10/01/2010,62995,4085976
11/01/2010,66041,4110294
12/01/2010,70369,4100073
01/01/2011,54643,4231003
02/01/2011,67327,4299263
03/01/2011,89361,4333669
04/01/2011,72713,4269360
05/01/2011,79573,4189659
06/01/2011,84357,4121801
07/01/2011,79866,4079742
08/01/2011,48441,4130927
09/01/2011,56481,4226744
10/01/2011,58615,4360926
11/01/2011,62242,4420462
12/01/2011,67309,4422359
01/01/2012,55660,4599829
02/01/2012,65473,4712098
03/01/2012,85599,4750867
04/01/2012,57078,4744235
05/01/2012,73829,4714122
06/01/2012,74447,4615269
07/01/2012,66506,4587455
08/01/2012,50499,4625634
09/01/2012,36544,4705279
10/01/2012,46344,4833521
11/01/2012,49337,4907817
12/01/2012,52216,4848723
01/01/2013,50897,4980778
02/01/2013,59685,5040222
03/01/2013,74322,5035243
04/01/2013,63984,4989193
05/01/2013,72134,4890928
06/01/2013,74885,4763680
07/01/2013,77727,4698814
08/01/2013,41834,4698783
09/01/2013,47219,4724355
10/01/2013,62511,4811383
11/01/2013,57394,4808908
12/01/2013,62582,4701338
01/01/2014,55460,4814435
02/01/2014,71336,4812486
03/01/2014,82297,4795866
04/01/2014,83194,4684301
05/01/2014,85425,4572385
06/01/2014,93041,4449701
07/01/2014,87150,4419860
08/01/2014,48669,4427930
09/01/2014,60418,4447650
10/01/2014,80368,4526804
11/01/2014,68714,4512116
12/01/2014,77385,4447711
01/01/2015,71446,4525691
02/01/2015,90759,4512153
03/01/2015,116950,4451939
04/01/2015,87147,4333016
05/01/2015,98639,4215031
06/01/2015,116452,4120304
07/01/2015,108912,4046276
08/01/2015,60879,4067955
09/01/2015,76712,4094042
10/01/2015,86754,4176369
11/01/2015,87607,4149298
12/01/2015,94770,4093508
01/01/2016,81765,4150755
02/01/2016,104173,4152986
03/01/2016,119450,4094770
04/01/2016,107620,4011171
05/01/2016,120399,3891403
06/01/2016,131934,3767054
07/01/2016,114997,3683061
08/01/2016,70050,3697496
09/01/2016,86524,3720297
10/01/2016,90107,3764982
11/01/2016,100067,3789823
12/01/2016,104535,3702974
01/01/2017,91979,3760231
02/01/2017,106753,3750876
03/01/2017,135657,3702317
04/01/2017,109546,3573036
05/01/2017,136338,3461128
06/01/2017,141410,3362811
07/01/2017,119887,3335924
08/01/2017,80621,3382324
09/01/2017,91519,3410182
10/01/2017,103873,3467026
11/01/2017,113842,3474281
12/01/2017,111297,3412781
