FECHA,TARGET
01/01/2003,480
01/02/2003,567
01/03/2003,443
01/04/2003,516
01/05/2003,364
01/06/2003,496
01/07/2003,507
01/08/2003,277
01/09/2003,434
01/10/2003,568
01/11/2003,453
01/12/2003,436
01/01/2004,503
01/02/2004,484
01/03/2004,541
01/04/2004,527
01/05/2004,650
01/06/2004,566
01/07/2004,443
01/08/2004,512
01/09/2004,387
01/10/2004,454
01/11/2004,609
01/12/2004,413
01/01/2005,446
01/02/2005,451
01/03/2005,668
01/04/2005,489
01/05/2005,446
01/06/2005,704
01/07/2005,531
01/08/2005,374
01/09/2005,667
01/10/2005,402
01/11/2005,573
01/12/2005,454
01/01/2006,544
01/02/2006,501
01/03/2006,498
01/04/2006,393
01/05/2006,508
01/06/2006,506
01/07/2006,626
01/08/2006,354
01/09/2006,487
01/10/2006,578
01/11/2006,634
01/12/2006,351
01/01/2007,650
01/02/2007,586
01/03/2007,837
01/04/2007,603
01/05/2007,625
01/06/2007,533
01/07/2007,551
01/08/2007,397
01/09/2007,691
01/10/2007,635
01/11/2007,569
01/12/2007,343
01/01/2008,426
01/02/2008,575
01/03/2008,424
01/04/2008,659
01/05/2008,569
01/06/2008,446
01/07/2008,507
01/08/2008,402
01/09/2008,407
01/10/2008,535
01/11/2008,796
01/12/2008,355
01/01/2009,463
01/02/2009,462
01/03/2009,409
01/04/2009,411
01/05/2009,310
01/06/2009,670
01/07/2009,488
01/08/2009,276
01/09/2009,302
01/10/2009,434
01/11/2009,580
01/12/2009,198
01/01/2010,327
01/02/2010,315
01/03/2010,261
01/04/2010,495
01/05/2010,433
01/06/2010,404
01/07/2010,580
01/08/2010,412
01/09/2010,329
01/10/2010,458
01/11/2010,366
01/12/2010,274
01/01/2011,301
01/02/2011,401
01/03/2011,244
01/04/2011,224
01/05/2011,236
01/06/2011,309
01/07/2011,212
01/08/2011,181
01/09/2011,225
01/10/2011,148
01/11/2011,347
01/12/2011,174
01/01/2012,160
01/02/2012,149
01/03/2012,177
01/04/2012,133
01/05/2012,180
01/06/2012,126
01/07/2012,133
01/08/2012,122
01/09/2012,116
01/10/2012,146
01/11/2012,214
01/12/2012,95
01/01/2013,135
01/02/2013,123
01/03/2013,85
01/04/2013,101
01/05/2013,101
01/06/2013,63
01/07/2013,70
01/08/2013,82
01/09/2013,88
01/10/2013,94
01/11/2013,78
01/12/2013,91
01/01/2014,141
01/02/2014,142
01/03/2014,102
01/04/2014,124
01/05/2014,105
01/06/2014,116
01/07/2014,106
01/08/2014,88
01/09/2014,100
01/10/2014,118
01/11/2014,101
01/12/2014,110
01/01/2015,126
01/02/2015,106
01/03/2015,85
01/04/2015,136
01/05/2015,117
01/06/2015,112
01/07/2015,127
01/08/2015,122
01/09/2015,114
01/10/2015,85
01/11/2015,120
01/12/2015,101
01/01/2016,131
01/02/2016,137
01/03/2016,109
01/04/2016,138
01/05/2016,140
01/06/2016,128
01/07/2016,103
01/08/2016,116
01/09/2016,108
01/10/2016,140
01/11/2016,141
01/12/2016,107
01/01/2017,145
01/02/2017,90
01/03/2017,142
01/04/2017,119
01/05/2017,162
01/06/2017,180
01/07/2017,111
01/08/2017,152
01/09/2017,122
01/10/2017,104
01/11/2017,134
01/12/2017,145
01/01/2018,174
01/02/2018,114
01/03/2018,121
01/04/2018,125
01/05/2018,146
01/06/2018,228
01/07/2018,170
01/08/2018,142
01/09/2018,179
01/10/2018,164
01/11/2018,160
01/12/2018,87
01/01/2019,145
01/02/2019,101
01/03/2019,171
01/04/2019,121
01/05/2019,283
01/06/2019,178
01/07/2019,219
01/08/2019,90
01/09/2019,54
01/10/2019,106
01/11/2019,169
01/12/2019,160
